Label,Id
"""ladri""","villain, rebel"
"""zio prete""","helper, sage"
"""vecchina""","helper, sage"
"""Re""","dispatcher, caregiver"
"""governante""","helper, caregiver"
"""uccello dalle grandi
                  ali""","helper, animal"
"""ragazza""","protagonist, creator"
"""Regina""","villain, sovereign"
"""figlio del Re""","villain, lover"
"""piccina""","helper, caregiver"
"""tre sorelle maggiori""","villain, lover"
"""bel giovane""","prize, lover"
"""Campriano""","protagonist, jester"
"""Quelli di Ciciorana""","villain, citizen"
"""moglie""","helper, caregiver"
"""Geppone""","protagonist, caregiver"
"""Vento Tramontano""","helper, element"
"""Priore""","villain, sage"
"""moglie""","dispatcher, innocent"
"""Re""","dispatcher, sovereign"
"""voce""","helper, magician"
"""figlio del Re Giona""","dispatcher, lover"
"""Principessa""","dispatcher, caregiver"
"""balia""","villain, citizen"
"""ragazzo""","protagonist, hero"
"""Maga""","villain, magician"
"""vecchietto""","helper, sage"
"""due cieche""","helper, magician"
"""bellissima fanciulla""","prize, lover"
"""Drago""","villain, monster"
"""Regina""","dispatcher, sovereign"
"""ragazza bianca e rossa come una mela""","prize, lover"
"""Re""","protagonist, lover"
"""matrigna""","villain, caregiver"
"""Fata""","helper, magician"
"""donna""","dispatcher, citizen"
"""Fata""","villain, magician"
"""Prezzemolina""","protagonist, innocent"
"""Memé""","helper, magician"
"""Fata Morgana""","villain, magician"
"""Re""","dispatcher, sovereign"
"""Regina""","dispatcher, innocent"
"""sorelle maggiori""","villain, lover"
"""vecchia""","villain, sage"
"""barcaiolo""","helper, citizen"
"""bambina""","protagonist, innocent"
"""fratello maggiore""","protagonist, hero"
"""eremita""","helper, sage"
"""secondo
                  fratello""","protagonist, hero"
"""Uccel bel-verde""","prize, animal"
"""Re""","dispatcher, sovereign"
"""legnaiolo""","dispatcher, caregiver"
"""Leonetta""","protagonist, rebel"
"""sorelle""","helper, innocent"
"""damigelle""","helper, citizen"
"""Re""","villain, sovereign"
"""assassino""","villain, rebel"
"""Principessa""","protagonist, hero"
"""mercanti di cotone""","helper, citizen"
"""moglie del
                  marinaio""","helper, caregiver"
"""Re""","helper, lover"
"""gobbo più
                  giovane""","protagonist, explorer"
"""vecchine""","helper, magician"
"""donna""","dispatcher, citizen"
"""povera""","villain, magician"
"""Cecino""","protagonist, innocent"
"""babbo""","dispatcher, citizen"
"""contadino""","dispatcher, citizen"
"""ladri""","villain, rebel"
"""lupo""","villain, animal"
"""Regina""","dispatcher, caregiver"
"""balia""","villain, caregiver"
"""ragazza""","protagonist, lover"
"""fratelli""","helper, hero"
"""Re dei Pavoni""","prize, lover"
"""vecchierello""","helper, sage"
"""figliola""","villain, lover"
"""Capitano""","villain, sovereign"
"""marinaio""","helper, citizen"
"""cagnolino""","helper, animal"
"""vecchia vedova""","dispatcher, caregiver"
"""Maria""","helper, caregiver"
"""cane""","villain, animal"
"""Rosa""","helper, caregiver"
"""Nina""","protagonist, hero"
"""Regina""","villain, sovereign"
"""ochina""","protagonist, animal"
"""fabbro ferraio""","helper, citizen"
"""volpe""","villain, animal"
"""madre""","villain, caregiver"
"""vecchia""","helper, sage"
"""ragazza""","protagonist, innocent"
"""sorellastra""","villain, innocent"
"""figlio del Re""","prize, lover"
"""Quattordici""","protagonist, jester"
"""mamma""","dispatcher, caregiver"
